Laboratory Value,COVID (+) n,COVID (+) Mean,SD of (+) Group,COVID (-) n,COVID (-) Mean,SD of (-) Group,SD Both Groups,p Value
White Blood Cell Count,65,6.09,2.54,487,10.46,5.92,3.09,<0.001
Hemoglobin,65,12.87,1.93,487,12.36,2.3,0.36,0.054
Platelet,64,178.47,68.73,480,247.26,106.84,48.64,<0.001
Abs Neutrophil Count,64,4.1,5.3,469,7.7,2.29,2.55,<0.001
Abs Lymphocyte Count,64,0.94,0.61,468,1.72,1.52,0.55,<0.001
Abs Eosinophil Count,64,0.03,0.06,468,0.14,0.19,0.08,<0.001
AST,64,45.59,46.13,436,47.49,115.52,1.34,0.812
ALT,64,33.05,30.69,443,43.7,138.15,7.53,0.162
Alkaline Phosphatase,64,70.94,30.2,443,113.8,93.44,30.31,<0.001
Total Bilirubin,64,0.49,0.67,441,1.39,7.91,0.64,0.02
Albumin,63,3.66,0.48,438,4.02,0.6,0.25,<0.001
Lactate Dehydrogenase,38,330.05,219.38,263,307.81,218.07,15.73,0.562
Troponin T,36,0.01,0.03,240,0.06,0.3,0.04,0.013
Lactate,43,1.38,0.64,299,1.81,1.08,0.3,<0.001
D-DIMER,4,0.43,0.14,81,1.57,2.98,0.81,0.001
INR,4,1.4,0.67,93,1.54,0.76,0.1,0.708
Thromboplastin Time,1,36,36,27,31.78,6.72,2.98,-
C Reactive Protein,37,5.32,5.57,306,5.55,8.12,0.16,0.824
Erythrocyte Sedimentation Rate,37,39.51,22.25,278,42.66,31.11,2.23,0.446
Procalcitonin,52,0.14,0.19,356,1.64,7.11,1.06,<0.001
Ferritin,37,915.49,1125.75,301,542.01,1188.64,264.09,0.065
