References,Year of publication,Study period,Region,Study population,Age category,Gender,,Number examined,No Positive,Prevalence,E. coli,Salmonella,Shigella,Klebsiella,Proteus,Enterobacter,Campylobacter,Citrobacter
,,,,,,Male,Female,,,,,,,,,,,
[19],2018,Aug–Dec 2015,Addis Ababa,Diarrheic patient,<15 yrs,115,138,253,94,37.15,61,23,10,,,,,
[20],2021,Mar 2019 to Nov 2019,SNNP,diarrheic patient,Adult > 15yrs,151,127,278,24,8.63,,15,9,,,,,
[21],2018,Nov 2015 and Aug 2016,Amhara,diarrheic patient,<15 yrs,99,64,163,91,55.83,47,5,3,11,7,2,,
[22],2020,Jan to March 2018,Amhara,"Diarrheic patient, HIV +",all,163,191,354,24,6.78,,17,7,,,,,
[23],2020,Jan to July 2014,Oromia,diarrheic children,<15 yrs,125,114,239,9,3.77,,3,6,,,,,
[24],2018,June to Sept 2017,SNNP,diarrheic patient,<15 yrs,101,103,204,19,9.31,,3,17,,,,,
[25],2011,Aug to Nov 2009,Amhara,diarrheic patient,all,125,90,215,32,14.88,,,32,,,,,
[26],2014,"Feb to May, 2014",Amhara,diarrheic patient,all,180,192,372,21,5.65,,4,17,,,,,
[27],2018,"June to Oct, 2016",Amhara,diarrheic patient,<15 yrs,68,44,112,4,3.57,,1,3,,,,,
[28],2014,March to Nov 2012,Oromia,diarrheic patient,<15 yrs,114,146,260,22,8.46,,16,6,,,,,
[29],2015,March to May 2011,Oromia,diarrheic patient,<15 yrs,14,10,24,7,29.17,,,7,,,,,
[30],2020,March and Aug 2019,SNNP,HIV infected diarrheic,Adult >15 yrs,84,96,180,15,8.33,,5,2,,,,8,
[13],2011,Jan to Aug 2006,Addis Ababa,diarrheic patient,<15 yrs,654,571,1225,126,10.29,,65,61,,,,,
[31],2019,Nov 2016 and May 2017,Addis Ababa,diarrheic patient,<15 yrs,155,135,290,42,14.48,13,7,22,,,,,
[32],2013,Oct 2011 to March 2012,Amhara,diarrheic patient,<15 yrs,144,141,285,44,15.44,,,,,,,44,
[33],2015,Dec 2011 to Feb 2012,Amhara,diarrheic patient,<15 yrs,239,183,422,73,17.3,,33,40,,,,,
[34],2014,Feb to May 2011,Harari,diarrheic patient,all,193,191,384,56,14.58,,,56,,,,,
[35],2014,"June to Oct, 2011",SNNP,diarrheic patient,<15 yrs,81,77,158,35,22.15,,4,11,,,,20,
[36],2014,Dec 2011 to Feb 2012,Amhara,diarrheic patient,<15 yrs,,,422,33,7.82,,33,,,,,,
[37],2019,Feb 2017 to March 2017,Oromia,diarrheic patient,all,99,133,232,42,18.1,,22,20,,,,,
[38],2020,Nov 2016 to Jan 2017,Amhara,diarrheic patient,all,181,203,384,20,5.21,,20,,,,,,
[39],2015,Dec 2011 to Feb 2012,Amhara,diarrheic patient,<15 yrs,183,239,422,204,48.34,204,,,,,,,
[40],2016,Dec 2013 to Mar 2014,Addis Ababa,diarrheic patient,<15 yrs,125,131,256,78,30.47,78,7,33,,,,,
[41],2019,January to March 2018,Amhara,diarrheic patient,<15 yrs,151,121,272,29,10.66,,,29,,,,,
[42],2018,Oct 2015 to Feb 2016,Oromia,diarrheic patient,all,223,199,422,39,9.24,,30,9,,,,,
[43],2014,July to Oct 2012,Oromia,diarrheic patient,<15 yrs,106,121,227,38,16.74,,,,,,,38,
[44],2018,"Mar to May, 2017",SNNP,diarrheic patient,<15 yrs,95,72,167,29,17.37,,21,8,,,,,
[45],2019,June to Dec 2017,Gambella,diarrheic patient,<15 yrs,74,60,134,55,41.04,,4,14,,,,,
[46],2015,August to Nov 2014,Tigray,diarrheic patient,all,109,107,216,15,6.94,,,15,,,,,
[47],2014,Oct 2011 to June 2012,SNNP,diarrheic patient,all,221,161,382,57,14.92,,40,17,,,,,
[48],2011,Jan to Feb 2007,Harari,diarrheic patient,all,119,125,244,45,18.44,,28,17,,,,,
[49],2019,April to July 2016,Oromia,diarrheic patient,<15 yrs,179,243,422,47,11.14,,29,18,,,,,
[50],2018,Nov 2011 to March 2012,Tigray,diarrheic patient,<15 yrs,145,115,260,37,14.23,,19,18,,,,,
[51],2011,Oct 2006 to March 2007,Amhara,diarrheic patient,All,180,204,384,66,17.19,,60,6,,,,,
[52],2021,Apr to Aug 2019,SNNPR,diarrheic patient,All,130,133,263,21,7.98,,1,20,,,,,
[53],2015,May 2013 to Jan 2014,Addis Ababa,Diarrheic patient,All,425,532,957,59,6.17,,59,,,,,,
[54],2020,Jan-17,Amhara,Diarrheic patient,<15 yrs,152,192,344,45,13.08,35,6,4,,,,,
[55],2016,-,Oromia,Diarrheic patient,all,84,92,176,21,11.93,,19,2,,,,,
[56],2015,Aug.-Dec. 2012,Addis Ababa,diarrheic patient,<15 yrs,115,138,253,104,41.11,61,10,23,,,,,10
[57],2017,"Feb to May, 2016",SNNP,HIV-infected with Gastroenteritis,all,103,112,215,27,12.56,2,11,3,,,,13,
[58],2018,Dec. 2014 to March 2015,Dire Dawa,Diarrheic patient,<15 yrs,105,91,196,43,21.94,25,7,11,,,,,
[59],2021,-,Addis Ababa,diarrheic patient,All,176,122,298,14,4.7,,14,,,,,,
[60],2014,-,Harari,diarrheic patient,All,208,176,384,56,14.58,,56,,,,,,
"yrs = years, SNNP = Southern Nations, Nationalities, and Peoples’ Region.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
HHS Vulnerability Disclosure,,,,,,,,,,,,,,,,,,
